Element,Missed Instructions,Cov.,Missed Branches,Cov.,Missed,Cxty,Missed,Lines,Missed,Methods,Missed,Classes
Total,"5,350 of 34,807",85%,"827 of 3,766",78%,884,"3,465","1,247","7,313",208,"1,492",5,240
org.jsoup.parser,,84%,,74%,481,"1,581",753,"3,558",49,538,0,116
org.jsoup.nodes,,87%,,82%,150,759,180,"1,453",56,416,0,33
org.jsoup.examples,,0%,,0%,42,42,100,100,15,15,4,4
org.jsoup.select,,88%,,94%,74,478,66,864,47,243,0,58
org.jsoup.helper,,87%,,80%,92,369,113,847,31,173,0,11
org.jsoup.safety,,96%,,79%,23,106,14,289,0,42,0,9
org.jsoup,,87%,,n/a,8,36,12,58,8,36,1,6
org.jsoup.internal,,95%,,91%,14,94,9,144,2,29,0,3
