Number of Classes,Line Coverage,Mutation Coverage
56,83% 6109/7346,68% 3228/4733
Name,Number of Classes,Line Coverage,Mutation Coverage
org.jsoup,5,92% 46/50,87% 20/23
org.jsoup.examples,3,0% 0/100,0% 0/61
org.jsoup.helper,5,87% 732/846,80% 394/494
org.jsoup.internal,3,94% 135/144,96% 131/137
org.jsoup.nodes,16,88% 1269/1448,75% 722/962
org.jsoup.parser,14,79% 2869/3620,61% 1500/2445
org.jsoup.safety,2,95% 273/287,61% 83/135
org.jsoup.select,8,92% 785/851,79% 378/476
